lab,cnt 2014-2016
LABA1C,17473
LABAFBC,10615
LABAFBD,9690
LABALB,6402
LABANER,16108
LABB12,4582
LABBLC,67631
LABBLC2,62458
LABBLCSTK,10802
LABBLCTIP,11431
LABBUN,2508
LABBXTG,12351
LABCA,2803
LABCAI,185624
LABCDTPCR,11758
LABCK,9539
LABCMVQT,17350
LABCORT,3652
LABCRP,10167
LABCSFC,10569
LABCSFGL,2109
LABCSFTP,2136
LABDIGL,21285
LABESRP,6533
LABFCUL,15082
LABFE,2692
LABFER,6293
LABFIB,10720
LABFLDC,24864
LABFOL,2094
LABFT4,4773
LABGRAM,13182
LABHAP,5548
LABHBSAG,6757
LABHCTX,22274
LABHEPAR,32060
LABHIVWBL,1266
LABK,55410
LABLAC,9832
LABLACWB,92495
LABLDH,34629
LABLIDOL,117810
LABLIPS,13359
LABMB,24229
LABMGN,322779
LABNA,27105
LABNH3,5879
LABNTBNP,9624
LABOSM,6915
LABPALB,5243
LABPCCG4O,10413
LABPCCR,1600
LABPCTNI,27983
LABPHOS,163166
LABPLTS,13326
LABPROCT,11833
LABPT,348448
LABPTEG,18031
LABPTT,112421
LABRESP,11806
LABRESPG,24997
LABRETIC,8294
LABSPLAC,14736
LABSTOBGD,7628
LABTNI,41649
LABTRFS,14214
LABTRIG,8372
LABTSH,11287
LABUOSM,4389
LABUA,322605
LABUAPRN,522403
LABUPREG,2593
LABURIC,18170
LABURNC,45868
LABUSPG,5611
