,base_name,lab_name,preceding_streak,normal_count,total_count,normal_prop
0,NA,Sodium,-1,15957,19178,0.8320471373448743
1,NA,Sodium,0,8147,18875,0.43162913907284767
2,NA,Sodium,1,15331,18046,0.8495511470686025
3,NA,Sodium,2,10765,12170,0.8845521774856204
4,NA,Sodium,3,7519,8312,0.9045957651588066
5,NA,Sodium,4,5010,5520,0.907608695652174
6,NA,Sodium,5,3540,3894,0.9090909090909091
7,NA,Sodium,6,3705,4036,0.91798810703667
0,K,Potassium,-1,16066,19115,0.8404917603975935
1,K,Potassium,0,7938,17006,0.4667764318475832
2,K,Potassium,1,15506,17939,0.8643737109091922
3,K,Potassium,2,10989,12242,0.8976474432282306
4,K,Potassium,3,7894,8558,0.9224117784529096
5,K,Potassium,4,5262,5688,0.9251054852320675
6,K,Potassium,5,3769,4070,0.9260442260442261
7,K,Potassium,6,4179,4444,0.9403690369036903
0,MG,Magnesium,-1,10528,15024,0.7007454739084132
1,MG,Magnesium,0,7553,21007,0.3595468177274242
2,MG,Magnesium,1,10846,13946,0.7777140398680625
3,MG,Magnesium,2,7521,8892,0.8458164642375169
4,MG,Magnesium,3,5210,5896,0.8836499321573948
5,MG,Magnesium,4,3271,3692,0.8859696641386782
6,MG,Magnesium,5,2223,2493,0.8916967509025271
7,MG,Magnesium,6,2313,2569,0.9003503308680421
0,PHOS,Phosphorus,-1,10969,15439,0.7104734762614159
1,PHOS,Phosphorus,0,8476,22663,0.3740016767418259
2,PHOS,Phosphorus,1,11215,15039,0.7457277744530887
3,PHOS,Phosphorus,2,7516,9161,0.8204344503875123
4,PHOS,Phosphorus,3,5096,6012,0.8476380572188955
5,PHOS,Phosphorus,4,3309,3839,0.8619432143787444
6,PHOS,Phosphorus,5,2257,2629,0.8585013313046785
7,PHOS,Phosphorus,6,2223,2515,0.88389662027833
0,CR,Creatinine,-1,15123,19255,0.7854063879511816
1,CR,Creatinine,0,3694,21454,0.17218234361890555
2,CR,Creatinine,1,12247,13565,0.9028381865093992
3,CR,Creatinine,2,9181,9700,0.9464948453608247
4,CR,Creatinine,3,6809,7076,0.9622668174109666
5,CR,Creatinine,4,4754,4884,0.9733824733824734
6,CR,Creatinine,5,3593,3686,0.9747693977211069
7,CR,Creatinine,6,4056,4148,0.9778206364513018
0,WBC,White Blood Cells,-1,9519,16049,0.5931210667331298
1,WBC,White Blood Cells,0,3762,28044,0.13414634146341464
2,WBC,White Blood Cells,1,4844,6289,0.7702337414533312
3,WBC,White Blood Cells,2,2308,2816,0.8196022727272727
4,WBC,White Blood Cells,3,1222,1458,0.8381344307270233
5,WBC,White Blood Cells,4,660,786,0.8396946564885496
6,WBC,White Blood Cells,5,408,482,0.8464730290456431
7,WBC,White Blood Cells,6,391,447,0.8747203579418344
0,HGB,Hemoglobin,-1,5391,16447,0.327780142275187
1,HGB,Hemoglobin,0,1899,41413,0.045855166252143045
2,HGB,Hemoglobin,1,1823,3004,0.6068575233022636
3,HGB,Hemoglobin,2,680,980,0.6938775510204082
4,HGB,Hemoglobin,3,337,465,0.7247311827956989
5,HGB,Hemoglobin,4,149,196,0.7602040816326531
6,HGB,Hemoglobin,5,95,120,0.7916666666666666
7,HGB,Hemoglobin,6,58,72,0.8055555555555556
0,PLT,Platelets,-1,9996,16029,0.62361968931312
1,PLT,Platelets,0,2745,28148,0.09752025010657951
2,PLT,Platelets,1,4969,5884,0.8444935418082937
3,PLT,Platelets,2,2455,2854,0.8601962158374211
4,PLT,Platelets,3,1453,1644,0.8838199513381995
5,PLT,Platelets,4,896,996,0.8995983935742972
6,PLT,Platelets,5,611,674,0.9065281899109793
7,PLT,Platelets,6,552,614,0.8990228013029316
0,TAC,Tacrolimus,-1,2217,2485,0.8921529175050302
1,TAC,Tacrolimus,0,566,805,0.7031055900621118
2,TAC,Tacrolimus,1,2077,2187,0.949702789208962
3,TAC,Tacrolimus,2,1557,1635,0.9522935779816514
4,TAC,Tacrolimus,3,1245,1292,0.9636222910216719
5,TAC,Tacrolimus,4,931,966,0.9637681159420289
6,TAC,Tacrolimus,5,720,750,0.96
7,TAC,Tacrolimus,6,982,1022,0.9608610567514677
0,URIC,Uric Acid,-1,1189,1332,0.8926426426426426
1,URIC,Uric Acid,0,310,1230,0.25203252032520324
2,URIC,Uric Acid,1,700,752,0.9308510638297872
3,URIC,Uric Acid,2,559,585,0.9555555555555556
4,URIC,Uric Acid,3,456,476,0.957983193277311
5,URIC,Uric Acid,4,388,394,0.9847715736040609
6,URIC,Uric Acid,5,315,321,0.9813084112149533
7,URIC,Uric Acid,6,300,306,0.9803921568627451
0,LDH,LDH,-1,1085,1803,0.6017748197448697
1,LDH,LDH,0,579,4404,0.13147138964577657
2,LDH,LDH,1,733,863,0.8493626882966396
3,LDH,LDH,2,486,541,0.8983364140480592
4,LDH,LDH,3,353,379,0.9313984168865436
5,LDH,LDH,4,275,293,0.9385665529010239
6,LDH,LDH,5,197,207,0.9516908212560387
7,LDH,LDH,6,219,231,0.948051948051948
